Account,Campaign,Ad group,Keyword,Match type
950-839-2076,Search-ES-Local-Mexico-2026,,trabajo,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,empleo,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,vacante,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,vacantes,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,renta,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,casa,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,departamento,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,compra,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,venta,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,inmuebles,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,automoviles,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,autos,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,refacciones,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,ferreteria,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,sucursal,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,horario,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,telefono,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,walmart,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,oxxo,Broad
950-839-2076,Search-ES-Local-Mexico-2026,,soriana,Broad
950-839-2076,Search-DE-JA-Expat-Moonshot,DE-Umzug-Mexiko,tourist,Broad
950-839-2076,Search-DE-JA-Expat-Moonshot,DE-Umzug-Mexiko,vacation,Broad
950-839-2076,Search-DE-JA-Expat-Moonshot,DE-Umzug-Mexiko,urlaub,Broad
950-839-2076,Search-DE-JA-Expat-Moonshot,DE-Umzug-Mexiko,reise,Broad
950-839-2076,Search-DE-JA-Expat-Moonshot,DE-Umzug-Mexiko,kurzurlaub,Broad
950-839-2076,Search-DE-JA-Expat-Moonshot,JA-Mexico-Iju,観光,Broad
950-839-2076,Search-DE-JA-Expat-Moonshot,JA-Mexico-Iju,旅行,Broad
950-839-2076,Search-DE-JA-Expat-Moonshot,JA-Mexico-Iju,短期,Broad
